price
100
101
101
96.96
93.08
97.93
93.03
93.03
94.01
90.25
86.64
86.64
85.77
85.77
86.63
86.63
86.63
87.5
87.5
85.76
84.88
84.04
84.04
79.24
76.86
76.86
79.24
75.31
74.56
73.07
72.34
73.07
73.8
73.41
69.65
69.65
69.65
74.61
74.61
73.86
73.86
73.12
74.58
73.83
73.83
76.04
76.04
74.52
73.77
74.51
73.02
73.02
76.67
78.2
77.42
77.42
80.52
80.52
78.1
78.1
78.1
78.1
74.2
74.2
70.49
70.49
69.79
66.3
66.3
66.3
62.99
62.99
60.47
60.47
60.47
60.47
61.68
61.68
61.68
59.83
59.83
58.63
55.14
55.14
56.79
56.79
56.22
56.22
56.22
56.22
53.97
51.27
49.22
47.25
47.25
45.36
45.36
43.09
43.09
40.94
40.94
39.71
40.9
42.13
40.02
39.62
38.83
38.63
38.24
38.62
39.78
37.79
38.17
36.64
36.64
35.17
33.41
32.74
31.76
30.49
30.49
29.88
30.78
31.09
31.09
32.33
31.68
32.95
