b0t1	-0,146357999
b0t2	-0,575435264
b0t3	-0,216928311
b0t4	-0,163183006
b0t5	-0,988887534
b2t1	-1,232315252
b2t2	-0,521030704
b2t3	-0,508219502
b2t4	-0,527411874
b2t5	-0,664102518
b4t1	0,115877606
b4t2	-0,282173913
b4t3	-0,452111001
b4t4	-0,433662576
b4t5	-0,384385901
b6t1	-0,224579932
b6t2	-0,376765661
b6t3	-0,434239731
b6t4	-0,776958522
b6t5	-0,399218929
b8t1	0,105206545
b8t2	-1,013616434
b8t3	-0,341991563
b8t4	-0,803315559
b8t5	-0,609701146
b10t1	-0,466326654
b10t2	-0,302748710
b10t3	0,375546201
b10t4	-0,182365489
b10t5	0,083644090
b12t1	-0,514589809
b12t2	1,196407048
b12t3	-0,190042067
b12t4	-0,564505670
b12t5	-0,446184386
b14t1	0,413633710
b14t2	0,002624428
b14t3	1,148311545
b14t4	1,028228480
b14t5	0,463219664
b16t1	0,302258712
b16t2	0,466222896
b16t3	1,161019378
b16t4	1,147903008
b16t5	1,804594606
b18t1	0,389289617
b18t2	0,874048266
b18t3	0,549969149
b18t4	2,180755861
b18t5	1,239770731
b20t1	1,978815409
b20t2	2,012396999
b20t3	1,042499572
b20t4	1,442642600
b20t5	1,373470019
